Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1972,570,D24HourMean,QuarterlyMean,Mean,12.93
1961,555,D24HourMean,QuarterlyMean,Mean,12.98
1947,533,D24HourMean,QuarterlyMean,Mean,13.82
1963,582,D24HourMean,QuarterlyMean,Mean,12.58
1967,571,D24HourMean,QuarterlyMean,Mean,12.09
1972,574,D24HourMean,QuarterlyMean,Mean,12.75
1936,575,D24HourMean,QuarterlyMean,Mean,9.89
1939,534,D24HourMean,QuarterlyMean,Mean,12.53
1955,532,D24HourMean,QuarterlyMean,Mean,14.94
1917,523,D24HourMean,QuarterlyMean,Mean,11.10
1958,562,D24HourMean,QuarterlyMean,Mean,12.65
1953,559,D24HourMean,QuarterlyMean,Mean,11.50
1933,523,D24HourMean,QuarterlyMean,Mean,14.95
1959,557,D24HourMean,QuarterlyMean,Mean,12.38
1962,548,D24HourMean,QuarterlyMean,Mean,13.53
1963,553,D24HourMean,QuarterlyMean,Mean,12.98
1979,589,D24HourMean,QuarterlyMean,Mean,12.21
1952,543,D24HourMean,QuarterlyMean,Mean,13.38
1952,572,D24HourMean,QuarterlyMean,Mean,11.45
1947,527,D24HourMean,QuarterlyMean,Mean,13.80
1948,525,D24HourMean,QuarterlyMean,Mean,13.27
1949,543,D24HourMean,QuarterlyMean,Mean,13.92
1938,526,D24HourMean,QuarterlyMean,Mean,13.97
1943,538,D24HourMean,QuarterlyMean,Mean,12.13
1948,579,D24HourMean,QuarterlyMean,Mean,10.91
1921,529,D24HourMean,QuarterlyMean,Mean,13.40
1977,593,D24HourMean,QuarterlyMean,Mean,13.77
1951,544,D24HourMean,QuarterlyMean,Mean,12.90
1952,558,D24HourMean,QuarterlyMean,Mean,11.18
1942,578,D24HourMean,QuarterlyMean,Mean,10.79
1945,512,D24HourMean,QuarterlyMean,Mean,14.68
1952,546,D24HourMean,QuarterlyMean,Mean,13.17
1923,526,D24HourMean,QuarterlyMean,Mean,13.39
1951,527,D24HourMean,QuarterlyMean,Mean,13.80
1957,539,D24HourMean,QuarterlyMean,Mean,14.13
1962,559,D24HourMean,QuarterlyMean,Mean,12.71
1943,533,D24HourMean,QuarterlyMean,Mean,13.07
1982,583,D24HourMean,QuarterlyMean,Mean,13.22
1926,534,D24HourMean,QuarterlyMean,Mean,12.51
1957,544,D24HourMean,QuarterlyMean,Mean,13.62
1937,576,D24HourMean,QuarterlyMean,Mean,9.96
1943,562,D24HourMean,QuarterlyMean,Mean,11.13
1954,558,D24HourMean,QuarterlyMean,Mean,11.79
1951,538,D24HourMean,QuarterlyMean,Mean,14.53
1971,592,D24HourMean,QuarterlyMean,Mean,13.37
1946,549,D24HourMean,QuarterlyMean,Mean,11.17
1971,584,D24HourMean,QuarterlyMean,Mean,11.72
1950,528,D24HourMean,QuarterlyMean,Mean,13.15
1968,550,D24HourMean,QuarterlyMean,Mean,13.57
1929,535,D24HourMean,QuarterlyMean,Mean,14.60
1973,561,D24HourMean,QuarterlyMean,Mean,12.88
1939,580,D24HourMean,QuarterlyMean,Mean,9.82
1945,566,D24HourMean,QuarterlyMean,Mean,10.67
1951,559,D24HourMean,QuarterlyMean,Mean,11.10
1927,515,D24HourMean,QuarterlyMean,Mean,13.47
1961,573,D24HourMean,QuarterlyMean,Mean,12.21
1952,551,D24HourMean,QuarterlyMean,Mean,12.80
1928,526,D24HourMean,QuarterlyMean,Mean,12.90
1938,521,D24HourMean,QuarterlyMean,Mean,14.95
1954,520,D24HourMean,QuarterlyMean,Mean,14.71
1975,576,D24HourMean,QuarterlyMean,Mean,13.80
1977,594,D24HourMean,QuarterlyMean,Mean,14.23
1947,538,D24HourMean,QuarterlyMean,Mean,13.82
1931,533,D24HourMean,QuarterlyMean,Mean,10.79
1965,586,D24HourMean,QuarterlyMean,Mean,11.99
1954,571,D24HourMean,QuarterlyMean,Mean,11.18
1947,571,D24HourMean,QuarterlyMean,Mean,10.95
1952,533,D24HourMean,QuarterlyMean,Mean,14.58
1962,567,D24HourMean,QuarterlyMean,Mean,11.76
1937,574,D24HourMean,QuarterlyMean,Mean,10.32
1925,514,D24HourMean,QuarterlyMean,Mean,11.96
1972,565,D24HourMean,QuarterlyMean,Mean,12.97
1956,558,D24HourMean,QuarterlyMean,Mean,12.55
1957,534,D24HourMean,QuarterlyMean,Mean,14.89
1974,552,D24HourMean,QuarterlyMean,Mean,13.42
1924,527,D24HourMean,QuarterlyMean,Mean,13.97
1937,518,D24HourMean,QuarterlyMean,Mean,15.62
1969,549,D24HourMean,QuarterlyMean,Mean,13.43
1969,570,D24HourMean,QuarterlyMean,Mean,12.43
1956,561,D24HourMean,QuarterlyMean,Mean,11.94
1960,531,D24HourMean,QuarterlyMean,Mean,16.11
1925,524,D24HourMean,QuarterlyMean,Mean,6.18
1968,577,D24HourMean,QuarterlyMean,Mean,11.74
1930,516,D24HourMean,QuarterlyMean,Mean,14.58
1932,523,D24HourMean,QuarterlyMean,Mean,14.63
1954,524,D24HourMean,QuarterlyMean,Mean,14.11
1966,556,D24HourMean,QuarterlyMean,Mean,13.40
1956,521,D24HourMean,QuarterlyMean,Mean,14.23
1961,539,D24HourMean,QuarterlyMean,Mean,14.50
1964,576,D24HourMean,QuarterlyMean,Mean,12.21
1971,566,D24HourMean,QuarterlyMean,Mean,12.80
1977,559,D24HourMean,QuarterlyMean,Mean,13.68
1931,522,D24HourMean,QuarterlyMean,Mean,13.32
1963,561,D24HourMean,QuarterlyMean,Mean,11.94
1950,540,D24HourMean,QuarterlyMean,Mean,13.97
1946,558,D24HourMean,QuarterlyMean,Mean,10.84
1970,575,D24HourMean,QuarterlyMean,Mean,12.16
1969,587,D24HourMean,QuarterlyMean,Mean,11.81
1961,554,D24HourMean,QuarterlyMean,Mean,12.78
1948,532,D24HourMean,QuarterlyMean,Mean,14.11
1972,561,D24HourMean,QuarterlyMean,Mean,12.61
1946,572,D24HourMean,QuarterlyMean,Mean,10.69
1959,538,D24HourMean,QuarterlyMean,Mean,13.98
1949,522,D24HourMean,QuarterlyMean,Mean,14.58
