Monitor Name,Monitor Description,Latitude,Longitude,Metric,Seasonal Metric,Statistic,Date,Value
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,1/30/2013,10.26000023
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,1/31/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/1/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/2/2013,6.744999886
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/3/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/4/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/5/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/6/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/7/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/8/2013,4.369999886
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/9/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/10/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/11/2013,9.975000381
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/12/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/13/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/14/2013,3.799999952
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/15/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/16/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/17/2013,10.44999981
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/18/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/19/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/20/2013,20.42499924
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/21/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/22/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/23/2013,5.035000324
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/24/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/25/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/26/2013,12.35000038
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/27/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,2/28/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/1/2013,13.48999977
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/2/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/3/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/4/2013,4.180000305
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/5/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/6/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/7/2013,10.16499996
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/8/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/9/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/10/2013,18.33499908
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/11/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/12/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/13/2013,3.989999771
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/14/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/15/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/16/2013,5.889999866
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/17/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/18/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/19/2013,16.81500053
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/20/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/21/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/22/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/23/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/24/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/25/2013,13.30000019
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/26/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/27/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/28/2013,3.609999895
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/29/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/30/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,3/31/2013,17.95499992
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,4/1/2013,.
260050003881011,"'MethodCode=118','LandUse=RESIDENTIAL','LocationSetting=SUBURBAN','ProbeLocation=.','MonitorObjective=.','POC=1','PollutantID=88101'",42.76778412,-86.14857483,,,,4/2/2013,.
