1,235,161,19,65,0.44766
2,19,65,235,161,0.03423
1,235,162,19,65,0.67659
2,19,65,235,162,0.05181
1,235,163,19,65,0.73038
2,19,65,235,163,0.05601
1,235,164,19,65,0.7835
2,19,65,235,164,0.06017
1,235,165,19,65,0.29298
2,19,65,235,165,0.02253
1,236,161,19,65,0.66253
2,19,65,236,161,0.05065
1,236,162,19,65,1
2,19,65,236,162,0.07657
1,236,163,19,65,1
2,19,65,236,163,0.07668
1,236,164,19,65,1
2,19,65,236,164,0.07679
1,236,165,19,65,0.40464
2,19,65,236,165,0.03112
1,237,161,19,65,0.59728
2,19,65,237,161,0.04566
1,237,162,19,65,1
2,19,65,237,162,0.07656
1,237,163,19,65,1
2,19,65,237,163,0.07667
1,237,164,19,65,1
2,19,65,237,164,0.07679
1,237,165,19,65,0.45881
2,19,65,237,165,0.03528
1,238,161,19,65,0.32548
2,19,65,238,161,0.02488
1,238,162,19,65,0.54661
2,19,65,238,162,0.04184
1,238,163,19,65,0.48723
2,19,65,238,163,0.03735
1,238,164,19,65,0.43375
2,19,65,238,164,0.0333
1,238,165,19,65,0.19627
2,19,65,238,165,0.01509
1,221,128,29,177,0.00034
2,29,177,221,128,3E-05
1,221,129,29,177,0.11149
2,29,177,221,129,0.01092
1,221,130,29,177,0.13786
2,29,177,221,130,0.01352
1,221,131,29,177,0.14829
2,29,177,221,131,0.01456
1,222,128,29,177,0.38184
2,29,177,222,128,0.03733
1,222,129,29,177,0.98798
2,29,177,222,129,0.09673
1,222,130,29,177,1
2,29,177,222,130,0.09806
1,222,131,29,177,0.95676
2,29,177,222,131,0.09396
1,223,128,29,177,0.27396
2,29,177,223,128,0.02678
1,223,129,29,177,0.99715
2,29,177,223,129,0.09762
1,223,130,29,177,1
2,29,177,223,130,0.09805
1,223,131,29,177,0.97788
2,29,177,223,131,0.09603
1,224,128,29,177,0.03021
2,29,177,224,128,0.00295
1,224,129,29,177,0.9209
2,29,177,224,129,0.09015
1,224,130,29,177,1
2,29,177,224,130,0.09805
1,224,131,29,177,0.99999
2,29,177,224,131,0.09819
1,224,132,29,177,0.01827
2,29,177,224,132,0.0018
1,225,129,29,177,0.11556
2,29,177,225,129,0.01131
1,225,130,29,177,0.08877
2,29,177,225,130,0.0087
1,225,131,29,177,0.05268
2,29,177,225,131,0.00517
1,225,132,29,177,0.00095
2,29,177,225,132,9E-05
1,287,80,1,29,0.00221
2,1,29,287,80,0.00022
1,287,81,1,29,0.08208
2,1,29,287,81,0.00813
1,288,81,1,29,0.63533
2,1,29,288,81,0.06293
1,288,82,1,29,0.18168
2,1,29,288,82,0.01802
1,289,81,1,29,0.54184
2,1,29,289,81,0.05366
1,289,82,1,29,0.90651
2,1,29,289,82,0.08991
1,289,83,1,29,0.76376
2,1,29,289,83,0.07587
1,289,84,1,29,0.6575
2,1,29,289,84,0.06542
1,289,85,1,29,0.18775
2,1,29,289,85,0.01871
1,290,81,1,29,0.42802
2,1,29,290,81,0.04238
1,290,82,1,29,1
2,1,29,290,82,0.09916
1,290,83,1,29,1
2,1,29,290,83,0.09932
