Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2080,994,D24HourMean,QuarterlyMean,Mean,12.88
2074,992,D24HourMean,QuarterlyMean,Mean,13.43
2059,989,D24HourMean,QuarterlyMean,Mean,14.29
2040,977,D24HourMean,QuarterlyMean,Mean,12.72
2026,997,D24HourMean,QuarterlyMean,Mean,14.44
2039,980,D24HourMean,QuarterlyMean,Mean,13.95
2076,995,D24HourMean,QuarterlyMean,Mean,12.53
2029,989,D24HourMean,QuarterlyMean,Mean,13.12
2071,989,D24HourMean,QuarterlyMean,Mean,13.13
2058,981,D24HourMean,QuarterlyMean,Mean,15.32
2037,992,D24HourMean,QuarterlyMean,Mean,13.54
2035,990,D24HourMean,QuarterlyMean,Mean,11.99
2040,992,D24HourMean,QuarterlyMean,Mean,13.41
2054,984,D24HourMean,QuarterlyMean,Mean,14.77
2072,996,D24HourMean,QuarterlyMean,Mean,13.28
2031,977,D24HourMean,QuarterlyMean,Mean,14.56
2058,982,D24HourMean,QuarterlyMean,Mean,15.40
2067,980,D24HourMean,QuarterlyMean,Mean,13.14
2065,997,D24HourMean,QuarterlyMean,Mean,14.97
2030,985,D24HourMean,QuarterlyMean,Mean,13.95
2035,996,D24HourMean,QuarterlyMean,Mean,13.45
2043,990,D24HourMean,QuarterlyMean,Mean,12.70
2057,993,D24HourMean,QuarterlyMean,Mean,15.64
2060,989,D24HourMean,QuarterlyMean,Mean,14.34
2062,994,D24HourMean,QuarterlyMean,Mean,15.15
2071,985,D24HourMean,QuarterlyMean,Mean,14.09
2029,1000,D24HourMean,QuarterlyMean,Mean,15.34
2052,979,D24HourMean,QuarterlyMean,Mean,15.03
2042,975,D24HourMean,QuarterlyMean,Mean,12.93
2032,982,D24HourMean,QuarterlyMean,Mean,14.25
2051,980,D24HourMean,QuarterlyMean,Mean,16.07
2055,982,D24HourMean,QuarterlyMean,Mean,15.60
2063,989,D24HourMean,QuarterlyMean,Mean,14.04
2054,981,D24HourMean,QuarterlyMean,Mean,15.94
2035,981,D24HourMean,QuarterlyMean,Mean,13.13
2074,987,D24HourMean,QuarterlyMean,Mean,13.28
2049,989,D24HourMean,QuarterlyMean,Mean,14.17
2078,991,D24HourMean,QuarterlyMean,Mean,13.31
2067,982,D24HourMean,QuarterlyMean,Mean,14.01
2053,974,D24HourMean,QuarterlyMean,Mean,13.04
2033,988,D24HourMean,QuarterlyMean,Mean,13.97
2043,983,D24HourMean,QuarterlyMean,Mean,14.89
2039,984,D24HourMean,QuarterlyMean,Mean,13.27
2037,993,D24HourMean,QuarterlyMean,Mean,13.14
2054,974,D24HourMean,QuarterlyMean,Mean,12.89
2082,994,D24HourMean,QuarterlyMean,Mean,12.89
2065,983,D24HourMean,QuarterlyMean,Mean,14.67
2031,978,D24HourMean,QuarterlyMean,Mean,14.18
2046,977,D24HourMean,QuarterlyMean,Mean,12.07
2027,995,D24HourMean,QuarterlyMean,Mean,12.81
2029,1001,D24HourMean,QuarterlyMean,Mean,15.41
2031,974,D24HourMean,QuarterlyMean,Mean,15.35
